tpoint,confidence_threshold,actual_parasitemia,perc_parasitemia,healthy,ring,troph,schizont,gametocyte,wbc,misc
10.0,0.8,36.352,9.268559175739903e-05,7853782.0,684.0,44.0,0.0,1.0,42239.0,16799.0
10.0,0.9,36.352,6.641606182583236e-05,7843967.0,495.0,26.0,0.0,0.0,40632.0,15274.0
10.0,0.95,36.352,4.782384865363079e-05,7819992.0,358.0,16.0,0.0,0.0,37749.0,13451.0
10.0,0.99,36.352,1.5066155000602645e-05,6172683.0,91.0,2.0,0.0,0.0,17865.0,6870.0
11.0,0.5,72.704,0.0001003109774586328,7446094.0,724.0,23.0,0.0,1.0,24451.0,49933.0
11.0,0.6,72.704,8.18277717545312e-05,7441852.0,588.0,21.0,0.0,0.0,24178.0,46027.0
11.0,0.7,72.704,6.749992772667101e-05,7436543.0,486.0,16.0,0.0,0.0,23841.0,41916.0
11.0,0.8,72.704,5.290243915243562e-05,7428376.0,380.0,13.0,0.0,0.0,23259.0,37239.0
11.0,0.9,72.704,3.7654814937381665e-05,7409132.0,272.0,7.0,0.0,0.0,21855.0,30539.0
11.0,0.95,72.704,2.4942986974202852e-05,7376639.0,180.0,4.0,0.0,0.0,19649.0,24616.0
11.0,0.99,72.704,6.4087463799243424e-06,5773323.0,37.0,0.0,0.0,0.0,11563.0,10909.0
12.0,0.5,145.408,6.736476903925383e-05,7867084.0,486.0,44.0,0.0,0.0,21040.0,41326.0
12.0,0.6,145.408,4.9076054280150276e-05,7864957.0,348.0,38.0,0.0,0.0,20678.0,39583.0
12.0,0.7,145.408,3.599492255368077e-05,7861937.0,251.0,32.0,0.0,0.0,20189.0,37816.0
12.0,0.8,145.408,2.5964158007174508e-05,7856781.0,178.0,26.0,0.0,0.0,19332.0,35862.0
12.0,0.9,145.408,1.5808968504327513e-05,7843525.0,108.0,16.0,0.0,0.0,17321.0,32706.0
12.0,0.95,145.408,9.852437358651111e-06,7815248.0,67.0,10.0,0.0,0.0,14031.0,29237.0
12.0,0.99,145.408,4.060969116167433e-06,6156141.0,24.0,1.0,0.0,0.0,3060.0,16323.0
13.0,0.5,290.816,3.5216746791590565e-05,8546768.0,291.0,10.0,0.0,1.0,25579.0,26006.0
13.0,0.6,290.816,2.2351959810474104e-05,8544921.0,184.0,7.0,0.0,0.0,25372.0,24617.0
13.0,0.7,290.816,1.4281981571092894e-05,8542110.0,119.0,3.0,0.0,0.0,25009.0,23206.0
13.0,0.8,290.816,9.605800216458508e-06,8536427.0,80.0,2.0,0.0,0.0,24503.0,21586.0
13.0,0.9,290.816,6.339674103182657e-06,8517734.0,53.0,1.0,0.0,0.0,23386.0,19175.0
13.0,0.95,290.816,3.7789632437959165e-06,8467899.0,31.0,1.0,0.0,0.0,21774.0,16751.0
13.0,0.99,290.816,4.7624974282513885e-07,6299213.0,3.0,0.0,0.0,0.0,12855.0,11085.0
14.0,0.5,581.632,2.7968203619617177e-05,8652441.0,224.0,15.0,3.0,0.0,32561.0,23024.0
14.0,0.6,581.632,1.8611311770336874e-05,8650492.0,146.0,12.0,3.0,0.0,31923.0,21015.0
14.0,0.7,581.632,1.1679104913399436e-05,8647822.0,89.0,10.0,2.0,0.0,31037.0,19134.0
14.0,0.8,581.632,6.131793767182038e-06,8643421.0,45.0,8.0,0.0,0.0,29633.0,17089.0
14.0,0.9,581.632,3.0121577638482217e-06,8631660.0,20.0,6.0,0.0,0.0,27056.0,14198.0
14.0,0.95,581.632,1.5106935605757322e-06,8605306.0,11.0,2.0,0.0,0.0,23984.0,11790.0
14.0,0.99,581.632,2.9723794610957143e-07,6728614.0,2.0,0.0,0.0,0.0,12766.0,6672.0
15.0,0.5,1163.264,2.9384211719204473e-05,9732832.0,276.0,9.0,1.0,0.0,38852.0,17806.0
15.0,0.6,1163.264,1.6443514472348175e-05,9730120.0,152.0,8.0,0.0,0.0,38604.0,15595.0
15.0,0.7,1163.264,9.86980290620459e-06,9726542.0,89.0,7.0,0.0,0.0,38263.0,13438.0
15.0,0.8,1163.264,4.8347602390963815e-06,9721221.0,41.0,6.0,0.0,0.0,37711.0,11297.0
15.0,0.9,1163.264,1.441990325686905e-06,9708789.0,9.0,5.0,0.0,0.0,36245.0,8826.0
15.0,0.95,1163.264,6.197699806352869e-07,9681005.0,3.0,3.0,0.0,0.0,33816.0,7134.0
15.0,0.99,1163.264,0.0,7553351.0,0.0,0.0,0.0,0.0,19491.0,3429.0
16.0,0.5,2326.528,2.8469401330317105e-05,7411255.0,210.0,1.0,0.0,0.0,38429.0,43109.0
16.0,0.6,2326.528,1.6330018609473274e-05,7409546.0,121.0,0.0,0.0,0.0,38152.0,41383.0
16.0,0.7,2326.528,9.719833888038854e-06,7407462.0,72.0,0.0,0.0,0.0,37698.0,39550.0
16.0,0.8,2326.528,3.9166430317518195e-06,7404271.0,29.0,0.0,0.0,0.0,36906.0,37305.0
16.0,0.9,2326.528,1.3522048850024117e-06,7395319.0,10.0,0.0,0.0,0.0,35064.0,33689.0
16.0,0.95,2326.528,4.069936707057623e-07,7371119.0,3.0,0.0,0.0,0.0,31916.0,29736.0
16.0,0.99,2326.528,0.0,5638486.0,0.0,0.0,0.0,0.0,14835.0,17051.0
