tpoint,confidence_threshold,actual_parasitemia,perc_parasitemia,healthy,ring,troph,schizont,gametocyte,wbc,misc
1.0,0.5,0.071,0.07861867916611,3915836.0,291651.0,42241.0,355.0,1413.0,11.0,61506.0
1.0,0.6,0.071,0.07508087944285606,3899473.0,277611.0,38781.0,230.0,984.0,10.0,58637.0
1.0,0.7,0.071,0.07054443747013217,3883354.0,259838.0,34819.0,136.0,680.0,8.0,55555.0
1.0,0.8,0.071,0.0637186766983578,3865424.0,233738.0,29274.0,77.0,402.0,4.0,51352.0
1.0,0.9,0.071,0.0510860606738,3837251.0,186331.0,20228.0,34.0,175.0,1.0,43599.0
1.0,0.95,0.071,0.037449072948708834,3805322.0,136021.0,12020.0,12.0,74.0,0.0,34200.0
1.0,0.99,0.071,0.01140923809719997,2975407.0,32930.0,1408.0,1.0,8.0,0.0,12060.0
2.0,0.5,0.142,0.03896422542744358,6225867.0,221630.0,30727.0,144.0,1961.0,12481.0,86914.0
2.0,0.6,0.142,0.036996326893750764,6213719.0,211090.0,27600.0,82.0,1447.0,12383.0,83395.0
2.0,0.7,0.142,0.034510568309920324,6201469.0,197397.0,24266.0,40.0,1034.0,12282.0,79195.0
2.0,0.8,0.142,0.03087575656333031,6186516.0,177260.0,19846.0,14.0,661.0,12071.0,73308.0
2.0,0.9,0.142,0.024303353031520425,6160012.0,140437.0,13005.0,4.0,321.0,11551.0,63564.0
2.0,0.95,0.142,0.017634896552498794,6121840.0,102623.0,7274.0,2.0,166.0,10565.0,53967.0
2.0,0.99,0.142,0.0056584716556013735,4748096.0,26245.0,775.0,0.0,25.0,3758.0,28332.0
3.0,0.5,0.284,0.019548917140206425,6492386.0,115177.0,14223.0,62.0,616.0,10469.0,39080.0
3.0,0.6,0.284,0.01869918822157452,6487359.0,110671.0,12922.0,35.0,423.0,10279.0,37533.0
3.0,0.7,0.284,0.017611128260592506,6482342.0,104743.0,11454.0,16.0,284.0,9982.0,35816.0
3.0,0.8,0.284,0.015980145686223683,6476219.0,95652.0,9515.0,7.0,149.0,9526.0,33493.0
3.0,0.9,0.284,0.01283482032091326,6465254.0,77717.0,6343.0,0.0,57.0,8477.0,29221.0
3.0,0.95,0.284,0.009443895184255669,6447255.0,57847.0,3621.0,0.0,32.0,6986.0,25208.0
3.0,0.99,0.284,0.0031445077305726965,5247539.0,16146.0,407.0,0.0,7.0,2533.0,14150.0
4.0,0.5,0.568,0.010364996346000063,7011502.0,65619.0,7804.0,17.0,444.0,28089.0,25449.0
4.0,0.6,0.568,0.009850363212273878,7007392.0,62629.0,7074.0,12.0,297.0,27825.0,23977.0
4.0,0.7,0.568,0.009210648251312426,7002720.0,58828.0,6267.0,6.0,194.0,27466.0,22504.0
4.0,0.8,0.568,0.0082710521537521,6996503.0,53182.0,5166.0,4.0,112.0,26863.0,20694.0
4.0,0.9,0.568,0.006494750672781861,6984432.0,42188.0,3471.0,0.0,48.0,25177.0,17984.0
4.0,0.95,0.568,0.0046549018599027605,6964551.0,30569.0,2002.0,0.0,18.0,22248.0,15221.0
4.0,0.99,0.568,0.0014824804596763168,5579647.0,8060.0,224.0,0.0,1.0,10956.0,8048.0
5.0,0.5,1.136,0.00470974830698535,7795367.0,31719.0,5135.0,35.0,222.0,19864.0,23941.0
5.0,0.6,1.136,0.0044808071073602716,7792824.0,30408.0,4648.0,20.0,154.0,19325.0,22361.0
5.0,0.7,1.136,0.004189906820368594,7789957.0,28716.0,4048.0,13.0,113.0,18676.0,20788.0
5.0,0.8,1.136,0.0037633429007783614,7785906.0,26153.0,3254.0,5.0,74.0,17757.0,18908.0
5.0,0.9,1.136,0.002949818849405267,7777089.0,20933.0,2072.0,4.0,42.0,16255.0,16201.0
5.0,0.95,1.136,0.002069238385986341,7758251.0,14945.0,1142.0,0.0,20.0,14566.0,13698.0
5.0,0.99,1.136,0.0005759482907972021,6259106.0,3477.0,130.0,0.0,2.0,8218.0,7504.0
6.0,0.5,2.272,0.002164476456445043,7729150.0,15068.0,1693.0,5.0,68.0,6817.0,27215.0
6.0,0.6,2.272,0.0020592787126421583,7727491.0,14405.0,1537.0,4.0,51.0,6681.0,26094.0
6.0,0.7,2.272,0.0019225917187481632,7725682.0,13543.0,1338.0,1.0,29.0,6487.0,24772.0
6.0,0.8,2.272,0.0017332342002821983,7722974.0,12314.0,1095.0,0.0,21.0,6173.0,23028.0
6.0,0.9,2.272,0.0013537591895513969,7715428.0,9762.0,697.0,0.0,7.0,5469.0,20221.0
6.0,0.95,2.272,0.0009547116219232941,7696539.0,6944.0,411.0,0.0,3.0,4580.0,17532.0
6.0,0.99,2.272,0.000251117869154543,6206681.0,1512.0,47.0,0.0,0.0,1537.0,11681.0
7.0,0.5,4.544,0.0012262513830130356,7425678.0,7966.0,1149.0,2.0,59.0,17244.0,28521.0
7.0,0.6,4.544,0.0011621718055344027,7423956.0,7576.0,1060.0,2.0,42.0,17017.0,27333.0
7.0,0.7,4.544,0.001077577359515529,7421591.0,7078.0,927.0,1.0,32.0,16693.0,26163.0
7.0,0.8,4.544,0.0009573543617269444,7417499.0,6329.0,779.0,0.0,21.0,16100.0,24814.0
7.0,0.9,4.544,0.0007450043759900281,7406507.0,5031.0,491.0,0.0,8.0,14656.0,22660.0
7.0,0.95,4.544,0.0005122015119625388,7381978.0,3514.0,269.0,0.0,4.0,12794.0,20346.0
7.0,0.99,4.544,0.0001349931402664058,5858766.0,764.0,27.0,0.0,0.0,6071.0,13224.0
8.0,0.5,9.088,0.0006104312396107259,8012371.0,4431.0,463.0,0.0,18.0,18935.0,27912.0
8.0,0.6,9.088,0.0005689342439275627,8010416.0,4129.0,431.0,0.0,10.0,18515.0,26475.0
8.0,0.7,9.088,0.0005250949058804513,8007671.0,3832.0,375.0,0.0,7.0,17857.0,25151.0
8.0,0.8,9.088,0.000470227011613046,8003002.0,3445.0,320.0,0.0,4.0,16704.0,23627.0
8.0,0.9,9.088,0.0003691655332746872,7990751.0,2724.0,227.0,0.0,2.0,14200.0,21438.0
8.0,0.95,9.088,0.00026111224022627385,7963843.0,1945.0,135.0,0.0,0.0,11380.0,19105.0
8.0,0.99,9.088,8.588918239192673e-05,6321557.0,524.0,19.0,0.0,0.0,5319.0,11671.0
9.0,0.5,18.176,0.0003427985555922583,8334381.0,2510.0,348.0,0.0,19.0,48229.0,25395.0
9.0,0.6,18.176,0.0003071296918709369,8332667.0,2242.0,318.0,0.0,14.0,47773.0,24138.0
9.0,0.7,18.176,0.0002734963222605125,8330546.0,1985.0,294.0,0.0,11.0,47077.0,22832.0
9.0,0.8,18.176,0.00023591673159879508,8327241.0,1707.0,258.0,0.0,4.0,45786.0,21281.0
9.0,0.9,18.176,0.00017417521305210628,8317759.0,1271.0,178.0,0.0,1.0,41982.0,18515.0
9.0,0.95,18.176,0.00011598656581381576,8293102.0,848.0,114.0,0.0,0.0,35394.0,15371.0
9.0,0.99,18.176,2.8323850549669453e-05,6425498.0,165.0,17.0,0.0,0.0,9661.0,6817.0
10.0,0.5,36.352,0.00016231457531459898,7859998.0,1201.0,75.0,0.0,4.0,43514.0,19471.0
10.0,0.6,36.352,0.00013791741647599116,7858690.0,1017.0,67.0,0.0,2.0,43258.0,18619.0
10.0,0.7,36.352,0.00011415304296124956,7856974.0,838.0,59.0,0.0,1.0,42886.0,17746.0
