run,run_set,a
2023-05-08-151628-local_zstack,opportunity_08052023,-0.0003742337495658441
2023-05-08-143751-local_zstack,opportunity_08052023,-0.00042477036291203396
2023-05-08-162801-local_zstack,opportunity_08052023,-0.00029576494694766835
2023-05-08-153253-local_zstack,opportunity_08052023,-0.0004427585997226424
2023-05-08-161452-local_zstack,opportunity_08052023,-0.00034631018739330146
2023-05-08-144626-local_zstack,opportunity_08052023,-0.00035822051858042174
2023-05-08-160726-local_zstack,opportunity_08052023,-0.0004198279025404855
2023-05-08-155047-local_zstack,opportunity_08052023,-0.00023886957733275206
2023-05-08-135040-local_zstack,opportunity_08052023,-0.0005355273879106619
2023-05-08-142656-local_zstack,opportunity_08052023,-0.00029823869477945607
2023-05-03-152057-local_zstack,spirit_03052023,-0.00021171135272310046
2023-05-03-152622-local_zstack,spirit_03052023,-0.0001148762565516511
2023-05-03-152836-local_zstack,spirit_03052023,-0.00020208925811837517
2022-11-01-114207-local_zstack,AVT_04112022,-0.00018346251671213953
2022-11-03-170705-local_zstack,AVT_04112022,-0.0002187902820271472
2022-11-03-164829-local_zstack,AVT_04112022,-0.0004433667664843974
2022-11-03-170407-local_zstack,AVT_04112022,-0.0004286387112166816
2022-11-03-171232-local_zstack,AVT_04112022,-0.00017410683240510425
2022-11-01-114355-local_zstack,AVT_04112022,-0.00020727644671867003
2022-11-03-170841-local_zstack,AVT_04112022,-0.00020285091933816787
2022-11-03-171427-local_zstack,AVT_04112022,-0.00021130865496639409
2022-11-03-163416-local_zstack,AVT_04112022,-0.0003848525075496486
2022-11-01-113948-local_zstack,AVT_04112022,-0.00021457684556627985
2022-11-01-135156-local_zstack,AVT_04112022,-0.0002862181437470925
2022-11-03-170222-local_zstack,AVT_04112022,-0.0002843352519521975
2022-11-01-135553-local_zstack,AVT_04112022,-0.0002703768187384741
2022-11-03-164152-local_zstack,AVT_04112022,-0.0002485997414441705
2022-11-03-165348-local_zstack,AVT_04112022,-0.00027287832066870437
2022-11-03-170035-local_zstack,AVT_04112022,-0.0003457310516830872
2022-11-01-113759-local_zstack,AVT_04112022,-0.0002454471678977149
2022-11-01-113200-local_zstack,AVT_04112022,-0.00010266721661671549
2022-11-01-135344-local_zstack,AVT_04112022,-0.0001415177347153682
2022-11-03-164007-local_zstack,AVT_04112022,-0.00023199996919041465
2022-11-03-171020-local_zstack,AVT_04112022,-0.00018475781782623492
2022-11-03-170537-local_zstack,AVT_04112022,-0.0003810150356958925
2022-11-03-165605-local_zstack,AVT_04112022,-0.0002593652136352965
2023-04-19-142031-local_zstack_highhemat_flowslow,spirit_19042023,-0.00035442660704838495
2023-04-19-142854-local_zstack_lowhemat_flowslow,spirit_19042023,-0.0003216323530008418
2023-04-19-175658-local_zstack_highhemat_flowslow,spirit_19042023,-0.00031277228021543284
2023-04-19-145011-local_zstack_highhemat_flowmed,spirit_19042023,-0.00031924909520730864
2023-04-19-144539-local_zstack_highhemat_flowcrawl,spirit_19042023,-0.00016307284714436662
2023-04-19-142237-local_zstack_highhemat_flowmed,spirit_19042023,-0.0003425294754475702
2023-04-19-132215-local_zstack_lowhemat_flowmed,spirit_19042023,-0.00019687098777848786
2023-04-19-132028-local_zstack_lowhemat_flowslow,spirit_19042023,-0.0003074184320385868
2023-04-19-142707-local_zstack_lowhemat_flowcrawl,spirit_19042023,-0.0002819516636878038
2023-04-19-180710-local_zstack_lowhemat_flowslow,spirit_19042023,-0.00028479786686759663
2023-04-19-131249-local_zstack_highhemat_flowslow,spirit_19042023,-0.00024014646774039947
2023-04-19-145546-local_zstack_lowhemat_flowcrawl,spirit_19042023,-0.0003281652208646511
2023-04-19-150531-local_zstack_highhemat_flowmed,spirit_19042023,-0.00004242870255586911
2023-04-19-180920-local_zstack_lowhemat_medslow,spirit_19042023,-0.00026274368229661115
2023-04-19-175858-local_zstack_highhemat_flowmed,spirit_19042023,-0.00031006810314913673
2023-04-19-144756-local_zstack_highhemat_flowslow,spirit_19042023,-0.0002679312516579991
2023-04-19-131030-local_zstack_highhemat_flowmed,spirit_19042023,-0.00020304377076037303
2023-04-19-175500-local_zstack_highhemat_flowcrawl,spirit_19042023,-0.0004063778134107436
2023-04-19-151655-local_zstack_lowhemat_flowmed,spirit_19042023,-0.00016752101365266004
2023-04-19-143050-local_zstack_lowhemat_flowmed,spirit_19042023,-0.00017584165147895874
2023-04-19-143441-local_zstack_highhemat_flowcrawl,spirit_19042023,-0.0004304259283709064
2023-04-19-131837-local_zstack_lowhemat_flowcrawl,spirit_19042023,-0.00027485013029683917
2023-04-19-150754-local_zstack_highhemat_flowslow,spirit_19042023,-0.00007274912257621958
2023-04-19-180458-local_zstack_lowhemat_flowcrawl,spirit_19042023,-0.0002074863334377825
2023-04-19-150323-local_zstack_highhemat_flowcrawl,spirit_19042023,-0.00047987413948939007
2023-04-19-145915-local_zstack_lowhemat_flowmed,spirit_19042023,-0.0003370289295176631
2023-04-19-141829-local_zstack_highhemat_flowcrawl,spirit_19042023,-0.0001694938311401051
2023-04-19-130836-local_zstack_highhemat_flowcrawl,spirit_19042023,-0.00005994833284511696
2023-04-19-145737-local_zstack_low_hemat_flowslow,spirit_19042023,-0.0003580153151652575
2023-04-19-151454-local_zstack_lowhemat_flowslow,spirit_19042023,-0.000227960597192335
2023-04-19-151320-local_zstack_lowhemat_flowcrawl,spirit_19042023,-0.0001702121949411142
2023-07-18-130138-local_zstack,spirit_20230718,-0.0004676390682509138
2023-07-18-125836-local_zstack,spirit_20230718,-0.00024421130208518953
2022-08-11-124010-local_zstack,Basler_27052022,-0.0003518581527039684
2022-05-27-164949-local_zstack,Basler_27052022,-0.0001049563001046407
2022-05-27-171206-local_zstack,Basler_27052022,-0.0000847544758168083
2022-05-27-170503-local_zstack,Basler_27052022,-0.00006779465749233966
2022-05-27-170929-local_zstack,Basler_27052022,-0.00014106209783660865
2022-05-27-164442-local_zstack,Basler_27052022,-0.00018696352860939487
2022-05-27-162555-local_zstack,Basler_27052022,-0.00015680876605158461
2022-05-27-171323-local_zstack,Basler_27052022,-0.00005499505218777772
2022-05-27-164229-local_zstack,Basler_27052022,-0.00016462758574434274
2022-08-11-123613-local_zstack,Basler_27052022,-0.00024085643406469943
2022-05-27-162253-local_zstack,Basler_27052022,-0.0001386025182882841
2022-08-11-123812-local_zstack,Basler_27052022,-0.0003222778962845669
2022-08-11-123915-local_zstack,Basler_27052022,-0.0003322144100255412
2022-05-27-164817-local_zstack,Basler_27052022,-0.00012575227819808666
2022-08-11-124116-local_zstack,Basler_27052022,-0.00028144855282149367
2022-05-27-171430-local_zstack,Basler_27052022,-0.0000762990866122546
2022-08-11-123448-local_zstack,Basler_27052022,-0.0003479323570191362
2022-05-27-171043-local_zstack,Basler_27052022,-0.0001358674030769359
2022-05-27-164557-local_zstack,Basler_27052022,-0.00010291406856433465
2022-05-27-163249-local_zstack,Basler_27052022,-0.0000735783793574132
2022-05-27-163739-local_zstack,Basler_27052022,-0.00004830609300030796
2022-05-27-163136-local_zstack,Basler_27052022,-0.00010206186329868789
2022-08-11-123340-local_zstack,Basler_27052022,-0.0003452140510895573
2022-05-27-162955-local_zstack,Basler_27052022,-0.00031499494469949043
2022-05-27-165101-local_zstack,Basler_27052022,-0.0001243208444802085
2022-05-27-162442-local_zstack,Basler_27052022,-0.00020475253480978242
2022-05-27-170818-local_zstack,Basler_27052022,-0.0001842162173491581
2022-05-27-163416-local_zstack,Basler_27052022,-0.00010709730975711513
2022-05-27-164709-local_zstack,Basler_27052022,-0.00006998422127901329
2022-05-27-164337-local_zstack,Basler_27052022,-0.00018430490612075773
2023-04-20-132839-local_zstack,AVT_20042023,-0.00038725906464248547
2023-04-20-132244-local_zstack,AVT_20042023,-0.00043461909254724035
2023-04-20-133424-local_zstack,AVT_20042023,-0.0003884562766104799
2023-04-20-133247-local_zstack,AVT_20042023,-0.00037836481917810096
2023-04-20-132630-local_zstack,AVT_20042023,-0.0004078698638305238
2023-04-20-134920-local_zstack,AVT_20042023,-0.00035480007920191765
2023-04-20-133837-local_zstack,AVT_20042023,-0.00030682893135537773
2023-04-20-134647-local_zstack,AVT_20042023,-0.0003621576986649244
2023-04-20-134457-local_zstack,AVT_20042023,-0.0003876909987834891
2023-04-20-132427-local_zstack,AVT_20042023,-0.0003921487402253579
2023-04-20-133028-local_zstack,AVT_20042023,-0.0003817866877835234
2023-04-20-133619-local_zstack,AVT_20042023,-0.00034362371021368917
